Original_Category,Encoded_Value
D14GXS2,559
D14GXS5,560
D14IXS2,561
D14NXS2,562
D14OSS4,563
D14OXS2,564
D14OXS5,565
D14PSS4,566
D14PSS5,567
D14PXP6,568
D14PXS2,569
D14PXS5,570
D14PXS6,571
D14QXS2,572
D14RXS2,573
D14SXS2,574
D14VSS4,575
D14VXP5,576
D14VXS2,577
D14VXS5,578
D14VXS6,579
D14XXS2,580
D14YXS2,581
D14ZXS2,582
D14ZXS6,583
D21DXS2,584
D21EXS2,585
D21GXS2,586
D21IXS2,587
D21NXS2,588
D21OXP6,589
D21OXS2,590
D21OXS6,591
D21PSS4,592
D21PSS5,593
D21PXP6,594
D21PXS2,595
D21PXS5,596
D21PXS6,597
D21QXS2,598
D21RXS2,599
D21SXS2,600
D21VSS4,601
D21VXS5,602
D21VXS6,603
D21XXS2,604
D21YXS2,605
D21ZXP5,606
D21ZXP6,607
D21ZXS2,608
D21ZXS5,609
D21ZXS6,610
D7ATZNJC,611
DA0KA0DQ,612
DAA00UPN,613
DAA03UPN,614
DAA07UPN,615
DAA14UPN,616
DC0GAE,617
DC0GLE,618
DC0GNE,619
DC0GPE,620
DC2GAE,621
DC2GNE,622
DC2GPE,623
DC3GAE,624
DC3GLE,625
DC3GNE,626
DC3GPE,627
DC4GAE,628
DC4GNE,629
DC4GPE,630
DC7GAE,631
DC7GLE,632
DC7GNE,633
DC7GPE,634
DH0ANE,635
DH0ANEE,636
DH0LNE,637
DH0NNE,638
DH0PNE,639
DH2ANE,640
DH2LNE,641
DH2NNE,642
DH2PNE,643
DH3ANE,644
DH3LNE,645
DH3NNE,646
DH3PNE,647
DH4ANE,648
DH4LNE,649
DH4NNE,650
DH4PNE,651
DH7ANE,652
DH7LNE,653
DH7PNE,654
DUATZNJC,655
DVATZNJC,656
E00DXS2,657
E00EXS2,658
E00GSS4,659
E00GXS2,660
E00IXS2,661
E00NXS2,662
E00OSS4,663
E00OXP5,664
E00OXS5,665
E00PSS4,666
E00PXP4,667
E00PXP5,668
E00PXP6,669
E00PXS2,670
E00PXS4,671
E00PXS5,672
E00PXS6,673
E00RXS2,674
E00SXS2,675
E00VSS4,676
E00VXP5,677
E00VXS5,678
E00XXS2,679
E00YXS2,680
E00ZXS2,681
E01PXP5,682
E03DXS2,683
E03EXS2,684
E03GSS4,685
E03GXS2,686
E03GXS4,687
E03IXS2,688
E03KSS4,689
E03KXS4,690
E03NXS2,691
E03OXS2,692
E03OXS5,693
E03PSS4,694
E03PSS5,695
E03PXP4,696
E03PXP5,697
E03PXP6,698
E03PXS2,699
E03PXS4,700
E03PXS5,701
E03PXS6,702
E03QXS2,703
E03RXS2,704
E03SXS2,705
E03VSS4,706
E03VXP5,707
E03VXS4,708
E03VXS5,709
E03XXS2,710
E03YXS2,711
E03ZXS2,712
E07DXS2,713
E07EXS2,714
E07GSS4,715
E07GXS2,716
E07GXS5,717
E07IXS2,718
E07JSS5,719
E07NXS2,720
E07PSS4,721
E07PSS5,722
E07PXP5,723
E07PXP6,724
E07PXS2,725
E07PXS5,726
E07PXS6,727
E07QXS2,728
E07RXS2,729
E07SXS2,730
E07VSS4,731
E07VXS5,732
E07XXS2,733
E07YXS2,734
E07ZXS2,735
E0AHZNN1,736
E0AIZNN1,737
E0AIZRN1,738
E0AIZSN1,739
E0AJZNN1,740
E0AJZSN1,741
E0AKZNN1,742
E0AKZRN1,743
E0APZNN1,744
E0APZRN1,745
E0AWVNN1,746
E0AWWNN1,747
E0AWZNN1,748
E0AZZNN1,749
E0BHZNN1,750
E0DACAA,751
E0DACAY,752
E14DXS2,753
E14DXS5,754
E14DXS6,755
E14EXS2,756
E14GSS4,757
E14GXP5,758
E14GXS2,759
E14GXS5,760
E14IXS2,761
E14JXS2,762
E14JXS5,763
E14JXS6,764
E14NXS2,765
E14OSS4,766
E14OSS5,767
E14OXS5,768
E14PSS4,769
E14PSS5,770
E14PXP6,771
E14PXS2,772
E14PXS5,773
E14PXS6,774
E14QXS2,775
E14RXS2,776
E14SXS2,777
E14VXP5,778
E14VXS2,779
E14VXS5,780
E14VXS6,781
E14XXS2,782
E14YXS2,783
E14ZXP6,784
E14ZXS6,785
E21DXS2,786
E21EXS2,787
E21GXS2,788
E21IXS2,789
E21NXS2,790
E21OXS2,791
E21PSS4,792
E21PXP6,793
E21PXS2,794
E21PXS5,795
E21PXS6,796
E21QXS2,797
E21RXS2,798
E21SXS2,799
E21VXP6,800
E21VXS6,801
E21XXS2,802
E21YXS2,803
E21ZXP5,804
E21ZXS2,805
E21ZXS5,806
E21ZXS6,807
E3AHZNN1,808
E3AHZSN1,809
E3AIZNN1,810
E3AJZNN1,811
E3AJZSN1,812
E3AZZNN1,813
E3BHZNN1,814
E3DACAA,815
E7AHZNN1,816
E7AJZNN1,817
E7AKZNN1,818
E7AKZRN1,819
E7APZNN1,820
E7AUKNN1,821
E7AUZNN1,822
E7AZZNN1,823
E7BHZNN1,824
E7BUZNN1,825
E7DACAY,826
E8AIZNN1,827
EAA0ACES,828
EAA0ADEM,829
EAA0ADEN,830
EAA0ADFN,831
EAA0ADIN,832
EAA0AFEN,833
EAA0AFFN,834
EAA0AFIN,835
EAA0AHEN,836
EAA0AHES,837
EAA0AHFN,838
EAA0AHFS,839
EAA0AHIN,840
EAA0AKEN,841
EAA0AKES,842
EAA0AQEN,843
EAA0AQFN,844
EAA0AXES,845
EAA0AXFS,846
EAA0AXIS,847
EAA0IKEN,848
EAA0JFEN,849
EAA0JFFN,850
EAA0JHEN,851
EAA0JHES,852
EAA0JHFN,853
EAA0JHFS,854
EAA0JKEN,855
EAA0JQEN,856
EAA0JXES,857
EAA0KKEN,858
EAA0KKFN,859
EAA0ODEN,860
EAA0ODFN,861
EAA0ODIN,862
EAA0OFEN,863
EAA0OFFN,864
EAA0OFIN,865
EAA0OHEN,866
EAA0OHFN,867
EAA0OHIN,868
EAA0OKEN,869
EAA0OKFN,870
EAA0OKIN,871
EAA0OQEN,872
EAA0OQFN,873
EAA0PFEN,874
EAA0PFIN,875
EAA0PHEN,876
EAA0PKEY,877
EAA0PQEN,878
EAA0PQFN,879
EAA1AFEN,880
EAA1PKEN,881
EAA1PQEN,882
EAA2AFEN,883
EAA2AFFN,884
EAA2AHEN,885
EAA2AHES,886
EAA2AHFN,887
EAA2AHFS,888
EAA2AKEN,889
EAA2AKES,890
EAA2AKFS,891
EAA2AQEN,892
EAA2AQES,893
EAA2AWEM,894
EAA2AWEN,895
EAA2AXES,896
EAA2JHEN,897
EAA2JHES,898
EAA2JHFN,899
EAA2JHIN,900
EAA2JKES,901
EAA2JQEN,902
EAA2JXES,903
EAA2OFEN,904
EAA2OWEN,905
EAA3AFEN,906
EAA3AFFN,907
EAA3AHEN,908
EAA3AHES,909
EAA3AHFN,910
EAA3AHFS,911
EAA3AHIS,912
EAA3AKEN,913
EAA3AKES,914
EAA3AQEN,915
EAA3AREN,916
EAA3AXES,917
EAA3JFEN,918
EAA3JFFN,919
EAA3JHEN,920
EAA3JHES,921
EAA3JHFN,922
EAA3JHFS,923
EAA3JHIS,924
EAA3JKEN,925
EAA3JQEN,926
EAA3OFEN,927
EAA3OFFN,928
EAA3OKEN,929
EAA3OWEN,930
EAA3PFEN,931
EAA3PFFN,932
EAA3PKEN,933
EAA4AFEN,934
EAA4AFFN,935
EAA4AFIN,936
EAA4AHEN,937
EAA4AHES,938
EAA4AHFN,939
EAA4AHFS,940
EAA4AHIN,941
EAA4AHIS,942
EAA4AKES,943
EAA4AKFS,944
EAA4AKIS,945
EAA4AQEN,946
EAA4AQES,947
EAA4AWEN,948
EAA4AXES,949
EAA4AZES,950
EAA4JCES,951
EAA4JFEN,952
EAA4JHEN,953
EAA4JHES,954
EAA4JHFN,955
EAA4JHIN,956
EAA4JKES,957
EAA4JQEN,958
EAA4KKES,959
EAA4KKFS,960
EAA4OFEN,961
EAA4OKEN,962
EAA4OQEN,963
EAA4OWEN,964
EAA4PQEN,965
EAA7ADEN,966
EAA7ADFN,967
EAA7ADIN,968
EAA7AFEN,969
EAA7AFFN,970
EAA7AFIN,971
EAA7AHEN,972
EAA7AHES,973
EAA7AHFN,974
EAA7AHFS,975
EAA7AHIS,976
EAA7AKES,977
EAA7AQEN,978
EAA7AQFN,979
EAA7AQIN,980
EAA7AWEM,981
EAA7AWEN,982
EAA7AWFN,983
EAA7AXES,984
EAA7AZES,985
EAA7IWEN,986
EAA7JFEN,987
EAA7JFIN,988
EAA7JHEN,989
EAA7JHES,990
EAA7JHIS,991
EAA7JKEN,992
EAA7JKES,993
EAA7JKFS,994
EAA7JQEN,995
EAA7ODEN,996
EAA7ODIN,997
EAA7OFEN,998
EAA7OFIN,999
EAA7OKEN,1000
EAA7OQEN,1001
EAA7OWEN,1002
EAA7PQEN,1003
EAG2AHEN,1004
EAG2AHES,1005
EAG2AKES,1006
EAG2JKES,1007
EAG3AHES,1008
EAG3JHES,1009
EAG4AFEN,1010
EAG4AHEN,1011
EAG4AHES,1012
EAG4AHFN,1013
EAG4AHIN,1014
EAG4AKEN,1015
EAG4AKES,1016
EAG4JHEN,1017
EAG4JKEN,1018
EAG4JKES,1019
EAG4KKES,1020
EAG7AHES,1021
EAG7JHES,1022
EAK2AKES,1023
EAK2AQEN,1024
EAK2AQES,1025
EAK2JQES,1026
EAK3AHES,1027
EAK3JHES,1028
EAK4AHEN,1029
EAK4AQEN,1030
EAK4JHEN,1031
EAK4JQEN,1032
EAK7AHES,1033
EAK7JHES,1034
EAO4AFEN,1035
EAU2AHEN,1036
EAU2AKES,1037
EAU2JKES,1038
EAU2KKES,1039
EAU3AHES,1040
EAU3AHFS,1041
EAU3JHES,1042
EAU4AFEN,1043
EAU4AKES,1044
EAU4AKIS,1045
EAU4AQEN,1046
EAU4JKES,1047
EAU4KKES,1048
EAU7AHES,1049
EAU7AQEN,1050
EAU7JHES,1051
EAU7PQEN,1052
EAW0PFEN,1053
EAW7PFEN,1054
EAX0AHEN,1055
EAX3AQEN,1056
EAX7AHEN,1057
EAZ7OWEN,1058
EFA0OFEN,1059
EH0AUEL1,1060
EH0JUEL1,1061
EH0JUEN5,1062
EH0JUEY5,1063
EH0KUEL1,1064
EH0KUEN5,1065
EH0KUEY5,1066
EH0PUEL1,1067
EH0QBEL1,1068
EI0AUEL1,1069
EI0JUEL1,1070
EI0JUEN5,1071
EI0JUEY5,1072
EI0KUEL1,1073
EI0KUEN5,1074
EI0KUEY5,1075
EI0PUEL1,1076
ERA0AFEN,1077
ERA0AFIN,1078
ERA0OFEN,1079
ERA0PFEN,1080
ERA0PFIN,1081
ERA2AHEN,1082
ERA2JKES,1083
ERA4AFEN,1084
ERA4AHEN,1085
ERA4AWEN,1086
ERA7AFEN,1087
ERA7AHEN,1088
ERA7AWEN,1089
ERA7OFEN,1090
EREFN5,1091
ERG4AKES,1092
ERK2AFEN,1093
EUAHINN1,1094
EUAHZNN1,1095
EUAIXSN1,1096
EUAIZNN1,1097
EUAIZSN1,1098
EUAJZNN1,1099
EUAKZNN1,1100
EUAPZNN1,1101
EUAUZNN1,1102
EUAZZNN1,1103
EUBHXNN1,1104
EUBHZNN1,1105
EVAHZNN1,1106
EVAJZNN1,1107
EVAKUNN1,1108
EVAKZNN1,1109
EVAPZNN1,1110
EVAZZNN1,1111
F0ATZNFC,1112
F7ATZNFC,1113
F913T2,1114
FA3AA,1115
FUATZNFC,1116
FVATZNFC,1117
G00DXS2,1118
G00EXS2,1119
G00IXS2,1120
G00JXS2,1121
G00NXS2,1122
G00OSS4,1123
G00OXS5,1124
G00PSS4,1125
G00PSS5,1126
G00PXP4,1127
G00PXP6,1128
G00PXS2,1129
G00PXS4,1130
G00PXS6,1131
G00QXS2,1132
G00RXS2,1133
G00SSS4,1134
G00SXS2,1135
G00SXS4,1136
G00VSS4,1137
G00VXP4,1138
G00VXP5,1139
G00VXS5,1140
G00XXS2,1141
G00YXS2,1142
G00ZXS2,1143
G03DXS2,1144
G03EXS2,1145
G03GSS4,1146
G03GXS4,1147
G03IXS2,1148
G03JXS2,1149
G03NXS2,1150
G03OSS4,1151
G03OXS2,1152
G03OXS4,1153
G03PSS4,1154
G03PSS5,1155
G03PXP4,1156
G03PXP5,1157
G03PXP6,1158
G03PXS2,1159
G03PXS4,1160
G03PXS6,1161
G03QXS2,1162
G03RXS2,1163
G03SSS4,1164
G03SXS2,1165
G03SXS4,1166
G03VSS4,1167
G03VXP4,1168
G03VXP5,1169
G03VXS4,1170
G03XXS2,1171
G03XXS4,1172
G03YSS4,1173
G03YXS2,1174
G03YXS4,1175
G03ZXS2,1176
G07DXS2,1177
G07EXS2,1178
G07GSS4,1179
G07GXP4,1180
G07GXP5,1181
G07GXS2,1182
G07IXS2,1183
G07JXS2,1184
G07NXS2,1185
G07OSS4,1186
G07OXP6,1187
G07OXS2,1188
G07OXS4,1189
G07OXS5,1190
G07PNITE,1191
G07PSS4,1192
G07PSS5,1193
G07PXP5,1194
G07PXP6,1195
G07PXS2,1196
G07PXS5,1197
G07PXS6,1198
G07QXS2,1199
G07RSS4,1200
G07RXS2,1201
G07SXS2,1202
G07USS5,1203
G07VNITE,1204
G07VSS4,1205
G07VXP4,1206
G07VXP5,1207
G07VXP6,1208
G07VXS5,1209
G07VXS6,1210
G07XXS2,1211
G07YXS2,1212
G07ZNITE,1213
G07ZXP6,1214
G07ZXS2,1215
G0AGZNB1,1216
G0AGZNM1,1217
G0AGZNN1,1218
G0AGZRU1,1219
G0AHXNN1,1220
G0AHZNB1,1221
G0AHZNB3,1222
G0AHZNI1,1223
G0AHZNM1,1224
G0AHZNM3,1225
G0AHZNN1,1226
G0AHZNN3,1227
G0AHZNT1,1228
